Ministério,Categoria 01,title/pt-BR,body/pt-BR
Saúde,SUS,Acompanhamento Terapêutico para pessoas que fazem uso problemático de substâncias e neurodivergentes,"Afim de alcançar substituição dos serviços asilares e desistitucionalização dos pacientes de acordo com que preconiza Lei 10216, privilegiando Cuidado em Liberdade, Territorial, com promoção do acesso à Rede de Atenção Psicossocial e de Saúde, numa perpectiva do cuidado e antimanicomial, construir um rede nacional de formação e contratação de acompanhantes terapêuticos na rede pública, para acompanhamento de pessoas que fazem uso problemático de substâncias, neurodivergentes, entre outras."
Mulheres,Ensino Integral,Políticas públicas ,"Criação de Escola integral para filhos de mães solo, acima de 5 anos que não tem rede de apoio familiar e precisão trabalhar para sustentar a casa."
Controladoria-Geral da União (CGU),Auditoria,Auditoria da Dívida Pública,Auditoria popular e cidadã da Dívida Pública para diminuir os juros e amortizações.
Cidades,Passe Livre,SUM - Sistema Único de Mobilidade Urbana,"O SUM – Sistema Único de Mobilidade deve ser um instrumento de:

Equidade: combatendo as desigualdades.
Universalidade: garantindo acesso universal das pessoas aos espaços e oportunidades das cidades, sem discriminação de qualquer natureza.
Acessibilidade: incluindo socialmente e garantindo o acesso à mobilidade especialmente para pessoas com deficiência, baixa mobilidade ou restrição de mobilidade.
Integralidade: promovendo acesso a todas as esferas de serviço da mobilidade urbana, de forma int"
Educação,Educação,Projeto escola creche nas moradias populares ,Construção de escola creche nas moradias populares para dar segurança e proporcionar oportunidades de emprego e renda as famílias.
"Desenvolvimento e Assistência Social, Família e Combate à Fome",Assistência,Fortalecimento das instituições credenciadas no CEBAS  ,"Que o MDS ajude as organizações do terceiro setor a continuarem suas atividades com apoio tecnológico, profissional ou operacional, exigindo das organizações o compromisso da sustentabilidade."
Cidades,Agro,Quintais agroecológicos ,"Incentivo aos municipios para implantação dos quintais agroecológicos como medidas de enfrentamento aos terrenos abandonados com lixos e matagal, criadores de mosquitos. Além é claro dos benefícios do aumento de arvores nos perimetros urbanos."
Cultura,Educação,Fomentação da Literatura Nacional e Regional,"""Propor programa nacional de fomento à literatura brasileira, com foco nas regiões Norte e Nordeste, por meio de bolsas de escrita, editais específicos, apoio à publicação e promoção de autores locais, visando equidade regional, valorização da diversidade cultural e impulso ao desenvolvimento literário nessas áreas. Assim como ajudar a fomentar nas demais regiões, aumentando a capacidade criativa de nosso país, favorecendo artistas que não possuem tanta visibilidade."
"Desenvolvimento e Assistência Social, Família e Combate à Fome","Participação social 
",Pontos Populares de Alimentação (Pontos Populares de Soberania e Segurança Alimentar e Nutricional) ,"gid://decide/Decidim::Hashtag/1/propostacoletiva Implementação da Estratégia dos Pontos Populares como uma política pública que reconhece e retire da informalidade as cozinhas populares coletivas e demais iniciativas de solidariedade no combate à fome e à sede tais como: hortas, Unidades Territoriais Tradicionais (casa de terreiros), iniciativas de mulheres mãe solo, população negra, população de rua, atingidos por barragens, ciganos, indígenas, quilombolas e outros. A proposta já foi entregue ao Governo Federal."
Educação,Educação,Formação de uma Sociedade Leitora,"1. Investir financiamento público em criação e manutenção de Bibliotecas públicas em cada municipio e de bibliotecas escolares em toda escola da rede pública de ensino para garantir o princípio de acesso à informação e à leitura à população brasileira;
2. Garantir na LDB a inclusão dos bibliotecários e bibliotecárias como profissionais da educação imprescindíveis para gerenciar as bibliotecas escolares e integrar ao projeto pedagógico das escolas;
3. Implementar a Lei de Leitura e Escrita"
"Ciência, Tecnologia e Inovação","Políticas públicas/sociais 
",Programa de tecnologia para a população ,A revolução tecnológica se faz com investimento na educação. A educação é a base para a transformação social e o arcabouço para a revolução em qualquer país. Criar o programa internet para toda(o)s; Colocar a linguagem de programação na grade curricular da escola desde o ensino básico. Desenvolver centros tecnológicos e de pesquisa em todas as regiões do país. Democratizar e universalizar o acesso a tecnologia da informação através de leis. Incentivar a inovação e a industrialização no país.
Justiça e Segurança Pública,Defensoria,"Efetiva implementação da Defensoria Pública conforme estabelece a Constituição (art. 98 do ADCT - prazo ESGOTADO desde 2022, após 8 anos de vigência)","A Defensoria Pública deve ser implementada nos termos em que determina a Constituição.
A defesa das pessoas em situação de vulnerabilidade deve ocupar lugar de destaque em uma Democracia, cumprindo com os objetivos da República.
Assim, o Governo deve direcionar recursos para que o art. 98 do ADCT seja efetivado (articulando a aprovação do PL 2878/2019 e outras ações tendentes a cumprir as determinações constitucionais para que as pessoas em situação de vulnerabilidade tenham acesso à justiça)."
Trabalho e Emprego,Trabalho, Fim das contratações no modelo MEI e fiscalização severa,"O modelo de contratação de Microempreendedor Individual (MEI) tem sido usado por algumas empresas de forma inadequada, resultando em abusos trabalhistas e prejuízos para os trabalhadores. Com o objetivo de garantir a proteção dos direitos trabalhistas e combater a informalidade, esta proposta propõe o fim das contratações no modelo MEI e a implementação de uma fiscalização severa para garantir o cumprimento das leis trabalhistas."
Justiça e Segurança Pública,"Políticas públicas/sociais 
",Projeto conta a violência infantil.,"Este projeto visa combater a violência infantil que vem se alastrando com maior frequência. Visando também a violência sexual que, por sua vez, acontece com regularidade. Com foco na conscientização de crianças e seus familiares, visto que, dados apontam que a maior parte da violência contra crianças é doméstica. Deste modo, nosso objetivo principal é levar conhecimento para as crianças através das creches e escolas, além de, conscientizar os pais das consequências dos atos."
 Integração e Desenvolvimento Regional,"Políticas públicas/sociais 
",Convivência com o Seminárido ,Criar a Política e o Fundo Nacional de Convivência com o Semiárido
" Desenvolvimento, Indústria, Comércio e Serviços","Políticas públicas/sociais 
",Programa Nacional Fortalecimento de Economia Solidária,"Instituir o Prog Nac. de Fort de Econ. Solidária, transversalizado em todas as areas, que contemple: incubação, de novos grupos e fort. dos existentes, com fomento, credito, investimento qualificação socioprofiss. e gerencial, assess. tecnico, incluindo apoio aos trabalhadores/as populares urbanos por conta prorpia com articulação de redes, de colaboração solidária. Acesso a mercados, incluindo o mercado institucional coma criação de uma politica de aquisição de bens e serviços nos moldes do PPA"
Educação,Ensino,Minha Casa Minha Vida Estudantil ,"Modalidade do Programa Minha Casa Minha Vida para a construção de moradia estudantil para alunos das universidades públicas brasileiras durante o período de estudos.

O PNAES (Programa Nacional de Assistência Estudantil) prevê o apoio aos estudantes de baixa renda. Contudo, o déficit de moradias estudantis ainda é alto e uma das principais barreiras para continuidade dos estudos e uma das causas da evasão nas universidades públicas."
 Integração e Desenvolvimento Regional,BR,Investimentos  Infra-estrutura Vale do Juruá ,"'- Revitalização da BR 364 Cruzeiro do Sul-Rio Branco;
- Construção de Ponte de Rodrigues Alves;
- Interligação rodoviária de todos 
Os municípios da microrregião do Vale do Juruá
- Ligação Rodoviária entre Cruzeiro do Sul e Pucalpa - Peru 
- Construção de nova Pista de Pouso no município de Marechal Thaumaturgo"
Educação,Ensino Superior,"Garantia do funcionamento das universidades e institutos federais, com a recuperação dos orçamentos e repasses que reflitam as realidades de cada  uma","Sabemos que nós últimos 6 anos o sucateamento do ensino superior no Brasil foi terrível, agora precisamos de ajuda, virar a página e recomeçar. Por isso sugiro que o governo aumente os orçamentos das universidades, o socorro que foi dado esse ano de 2,4 Bi ainda não tampou o rombo que vinha crescendo. Precisamos de ajuda, estamos sem visitas técnicas, sem alimentação com preço acessível, sem auxílio estudantil para todos, precisando de estruturação. Socorro!"
Cultura,Cultura,Incentivar novos concursos literários ,"Incentivar concursos literários nos Estados e Municípios para a divulgação de novos escritore(a)s a fim de fortalecer a cultura nacional, além de engajar o desejo da criança e do adolescente, na proliferação da leitura, prática na compreensão das palavras e texto e futuramente ter paixão para tornar-se autore(a)s, professore(a)s e outros profissionais culturais."
Cultura,Financiamento,Programa de Incentivo à Produção de Videogames,"Criar uma plataforma parecida ao Kickstarter, porém, ao invés de apoiarmos financeiramente os projetos (de jogos), apoiamos com discussões e votos para que assim, o Governo Federal, com a regulamentação das profissões de desenvolvedores de jogos, na área de Cultura, possa financiar esses projetos escolhidos através do apoio popular e, assim, finalmente ajudar com ação direta essa indústria que tanto cresce e tem potencial no Brasil. Além de cumprir o objetivo principal da cartilha Lula Play."
